2022-05-19 20:05:954 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:919 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:984 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:777 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:288 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:798 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:116 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:30 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:305 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:687 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 20:05:342 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 22:05:523 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 22:05:410 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 22:05:556 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 22:05:442 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 22:05:743 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 22:05:46 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 22:05:370 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 22:05:927 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:290 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:319 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:487 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:157 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:196 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:09 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (fb56257cb7e3bbd972976838afc3bd18)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:886 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (fb56257cb7e3bbd972976838afc3bd18)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:125 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (fb56257cb7e3bbd972976838afc3bd18)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 23:05:301 INFO  NewAndUsedCarSearch :44 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (fb56257cb7e3bbd972976838afc3bd18)] -> xpath: //select[@id='makes']]
2022-05-19 23:05:756 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:174 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:64 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (409eb7ad81327ddefc60b95c577b3612)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:107 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (409eb7ad81327ddefc60b95c577b3612)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:401 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (409eb7ad81327ddefc60b95c577b3612)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 23:05:766 INFO  NewAndUsedCarSearch :44 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (409eb7ad81327ddefc60b95c577b3612)] -> xpath: //select[@id='makes']]
2022-05-19 23:05:934 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:579 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:692 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:751 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:209 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:630 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:404 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:212 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (0a96e340da31126b41136dde003841ed)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:412 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (0a96e340da31126b41136dde003841ed)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:878 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:959 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (ec31ef97ee1a5e4ebc8da534dd7feda3)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:321 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (ec31ef97ee1a5e4ebc8da534dd7feda3)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:485 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (ec31ef97ee1a5e4ebc8da534dd7feda3)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 23:05:867 INFO  NewAndUsedCarSearch :44 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (ec31ef97ee1a5e4ebc8da534dd7feda3)] -> xpath: //select[@id='makes']]
2022-05-19 23:05:36 INFO  NewAndUsedCarSearch :49 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (ec31ef97ee1a5e4ebc8da534dd7feda3)] -> xpath: //select[@id='models']]
2022-05-19 23:05:143 INFO  NewAndUsedCarSearch :54 - Click on Location : [[ChromeDriver: chrome on WINDOWS (ec31ef97ee1a5e4ebc8da534dd7feda3)] -> xpath: //select[@id='locations']]
2022-05-19 23:05:245 INFO  NewAndUsedCarSearch :59 - Click on Price : [[ChromeDriver: chrome on WINDOWS (ec31ef97ee1a5e4ebc8da534dd7feda3)] -> xpath: //select[@id='priceTo']]
2022-05-19 23:05:627 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:50 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:525 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:918 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:661 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:569 INFO  HomePage :40 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
2022-05-19 23:05:855 INFO  UsedCarSearch :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 23:05:231 INFO  UsedCarSearch :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //select[@id='makes']]
2022-05-19 23:05:599 INFO  UsedCarSearch :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //select[@id='models']]
2022-05-19 23:05:773 INFO  UsedCarSearch :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //select[@id='locations']]
2022-05-19 23:05:922 INFO  UsedCarSearch :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //select[@id='priceTo']]
2022-05-19 23:05:683 INFO  UsedCarSearch :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //input[@id='search-submit']]
2022-05-19 23:05:732 INFO  Result :23 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (30f30fe32076bfff709e4e3d429d9068)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 23:05:504 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:206 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:449 INFO  HomePage :40 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
2022-05-19 23:05:844 INFO  UsedCarSearch :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 23:05:259 INFO  UsedCarSearch :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //select[@id='makes']]
2022-05-19 23:05:404 INFO  UsedCarSearch :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //select[@id='models']]
2022-05-19 23:05:543 INFO  UsedCarSearch :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //select[@id='locations']]
2022-05-19 23:05:647 INFO  UsedCarSearch :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //select[@id='priceTo']]
2022-05-19 23:05:59 INFO  UsedCarSearch :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //input[@id='search-submit']]
2022-05-19 23:05:97 INFO  Result :23 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (bbe035d58c5454cc09a6c711bf80bdf3)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 23:05:941 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:729 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:952 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:344 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:202 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (3ea0a1954672c66b01ed6794569ef105)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:363 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (3ea0a1954672c66b01ed6794569ef105)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 13:05:415 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (3ea0a1954672c66b01ed6794569ef105)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 13:05:473 INFO  NewAndUsedCarSearch :44 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (3ea0a1954672c66b01ed6794569ef105)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:757 INFO  NewAndUsedCarSearch :49 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (3ea0a1954672c66b01ed6794569ef105)] -> xpath: //select[@id='models']]
2022-05-20 13:05:898 INFO  NewAndUsedCarSearch :54 - Click on Location : [[ChromeDriver: chrome on WINDOWS (3ea0a1954672c66b01ed6794569ef105)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:38 INFO  NewAndUsedCarSearch :59 - Click on Price : [[ChromeDriver: chrome on WINDOWS (3ea0a1954672c66b01ed6794569ef105)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:101 INFO  Result :23 - Getting a Result for Verification : Proxy element for: DefaultElementLocator 'By.xpath: //h1[@class='listing-search-title']'
2022-05-20 13:05:284 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:650 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (714599e9a70929872e8a06a3221f9d37)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:877 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (714599e9a70929872e8a06a3221f9d37)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 13:05:138 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (714599e9a70929872e8a06a3221f9d37)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 13:05:420 INFO  NewAndUsedCarSearch :44 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (714599e9a70929872e8a06a3221f9d37)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:531 INFO  NewAndUsedCarSearch :49 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (714599e9a70929872e8a06a3221f9d37)] -> xpath: //select[@id='models']]
2022-05-20 13:05:643 INFO  NewAndUsedCarSearch :54 - Click on Location : [[ChromeDriver: chrome on WINDOWS (714599e9a70929872e8a06a3221f9d37)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:755 INFO  NewAndUsedCarSearch :59 - Click on Price : [[ChromeDriver: chrome on WINDOWS (714599e9a70929872e8a06a3221f9d37)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:886 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:797 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (7dc49aa2add11b9c905eaadeab229286)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:968 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (7dc49aa2add11b9c905eaadeab229286)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 13:05:695 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (7dc49aa2add11b9c905eaadeab229286)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 13:05:330 INFO  NewAndUsedCarSearch :44 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (7dc49aa2add11b9c905eaadeab229286)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:505 INFO  NewAndUsedCarSearch :49 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (7dc49aa2add11b9c905eaadeab229286)] -> xpath: //select[@id='models']]
2022-05-20 13:05:633 INFO  NewAndUsedCarSearch :54 - Click on Location : [[ChromeDriver: chrome on WINDOWS (7dc49aa2add11b9c905eaadeab229286)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:757 INFO  NewAndUsedCarSearch :59 - Click on Price : [[ChromeDriver: chrome on WINDOWS (7dc49aa2add11b9c905eaadeab229286)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:849 INFO  Result :23 - Getting a Result for Verification : Proxy element for: DefaultElementLocator 'By.xpath: //h1[@class='listing-search-title']'
2022-05-20 13:05:954 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:694 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (e07dc2522d177a84756224563f1ce104)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:873 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (e07dc2522d177a84756224563f1ce104)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 13:05:540 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (e07dc2522d177a84756224563f1ce104)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 13:05:809 INFO  NewAndUsedCarSearch :44 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (e07dc2522d177a84756224563f1ce104)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:949 INFO  NewAndUsedCarSearch :49 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (e07dc2522d177a84756224563f1ce104)] -> xpath: //select[@id='models']]
2022-05-20 13:05:55 INFO  NewAndUsedCarSearch :54 - Click on Location : [[ChromeDriver: chrome on WINDOWS (e07dc2522d177a84756224563f1ce104)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:184 INFO  NewAndUsedCarSearch :59 - Click on Price : [[ChromeDriver: chrome on WINDOWS (e07dc2522d177a84756224563f1ce104)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:256 INFO  Result :23 - Getting a Result for Verification : Proxy element for: DefaultElementLocator 'By.xpath: //h1[@class='listing-search-title']'
2022-05-20 13:05:401 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:590 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (1e53bf631299571511bcfc830e08fc56)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:841 INFO  HomePage :35 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (1e53bf631299571511bcfc830e08fc56)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 13:05:761 INFO  NewAndUsedCarSearch :38 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (1e53bf631299571511bcfc830e08fc56)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 13:05:776 INFO  NewAndUsedCarSearch :44 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (1e53bf631299571511bcfc830e08fc56)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:154 INFO  NewAndUsedCarSearch :49 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (1e53bf631299571511bcfc830e08fc56)] -> xpath: //select[@id='models']]
2022-05-20 13:05:293 INFO  NewAndUsedCarSearch :54 - Click on Location : [[ChromeDriver: chrome on WINDOWS (1e53bf631299571511bcfc830e08fc56)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:469 INFO  NewAndUsedCarSearch :59 - Click on Price : [[ChromeDriver: chrome on WINDOWS (1e53bf631299571511bcfc830e08fc56)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:494 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:962 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:264 INFO  HomePage :40 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
2022-05-20 13:05:384 INFO  UsedCarSearch :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 13:05:838 INFO  UsedCarSearch :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:532 INFO  UsedCarSearch :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //select[@id='models']]
2022-05-20 13:05:654 INFO  UsedCarSearch :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:770 INFO  UsedCarSearch :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:605 INFO  UsedCarSearch :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:651 INFO  Result :23 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (111b1753665ba329a74b1c79d0a3d58c)] -> xpath: //h1[@class='listing-search-title']]
2022-05-20 13:05:635 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:779 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:286 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:481 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:219 INFO  HomePage :30 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (78702f8784e57db539876d76859fc852)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:448 INFO  HomePage :40 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (78702f8784e57db539876d76859fc852)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
